"""20170614""",5250032,2017-6-13,189921
"""20170615""",4808461,2017-6-14,98915
"""20170616""",4756706,2017-6-15,92976
"""20170617""",5602884,2017-6-16,102729
"""20170618""",5581807,2017-6-17,11351
"""20170619""",4431870,2017-6-18,42463
"""20170620""",4063851,2017-6-19,20981
"""20170621""",4428467,2017-6-20,26977
"""20170622""",4811906,2017-6-21,197570
"""20170623""",5806843,2017-6-22,74093
"""20170624""",5870023,2017-6-23,36357
"""20170625""",5418882,2017-6-24,28422
"""20170626""",3875846,2017-6-25,13767
"""20170627""",3168180,2017-6-26,12151
"""20170628""",2781189,2017-6-27,8985
"""20170629""",2618230,2017-6-28,13664
"""20170630""",2618230,2017-6-29,23418
"""20170701""",2805658,2017-6-30,8346
"""20170702""",2805658,2017-7-1,6232
"""20170703""",2035390,2017-7-2,4902
"""20170704""",1716919,2017-7-3,5584
"""20170705""",1509283,2017-7-4,20691
"""20170706""",1661282,2017-7-5,4316
"""20170707""",1427622,2017-7-6,21395
"""20170708""",1609315,2017-7-7,2050
"""20170709""",1743183,2017-7-8,2684
"""20170710""",1321023,2017-7-9,7792
"""20170711""",1100707,2017-7-10,3403
"""20170712""",976978,2017-7-11,2566
"""20170713""",1000187,2017-7-12,5637
"""20170714""",848377,2017-7-13,6319
"""20170715""",990216,2017-7-14,3307
"""20170716""",1084424,2017-7-15,2602
"""20170717""",769203,2017-7-16,2257
"""20170718""",658247,2017-7-17,1568
"""20170719""",613787,2017-7-18,1395
"""20170720""",573071,2017-7-19,2040
"""20170721""",511825,2017-7-20,2085
"""20170722""",631119,2017-7-21,1995
"""20170723""",755422,2017-7-22,2529
"""20170724""",574853,2017-7-23,2322
"""20170725""",502310,2017-7-24,2863
"""20170726""",487279,2017-7-25,3562
"""20170727""",465236,2017-7-26,2802
"""20170728""",476433,2017-7-27,3827
"""20170729""",603274,2017-7-28,1737
"""20170730""",682392,2017-7-29,4212
"""20170731""",535008,2017-7-30,10625
"""20170801""",485212,2017-7-31,3023
"""20170802""",477730,2017-8-1,4395
"""20170803""",512386,2017-8-2,2479
"""20170804""",473150,2017-8-3,2594
"""20170805""",520306,2017-8-4,1337
"""20170806""",595043,2017-8-5,1593
"""20170807""",478911,2017-8-6,2458
"""20170808""",460906,2017-8-7,9172
"""20170809""",397064,2017-8-8,1581
"""20170810""",353993,2017-8-9,8587
"""20170811""",1173771,2017-8-10,1036
"""20170812""",961884,2017-8-11,1649
"""20170813""",415948,2017-8-12,921
"""20170814""",294618,2017-8-13,938
"""20170815""",246506,2017-8-14,1071
"""20170816""",242153,2017-8-15,830
"""20170817""",233300,2017-8-16,1266
"""20170818""",212389,2017-8-17,1246
"""20170819""",250084,2017-8-18,976
"""20170820""",253687,2017-8-19,769
"""20170821""",186773,2017-8-20,694
"""20170822""",185298,2017-8-21,963
"""20170823""",191863,2017-8-22,761
"""20170824""",172355,2017-8-23,4521
"""20170825""",168184,2017-8-24,1424
"""20170826""",185088,2017-8-25,631
"""20170827""",215011,2017-8-26,549
"""20170828""",152139,2017-8-27,821
"""20170829""",179346,2017-8-28,2845
"""20170830""",183630,2017-8-29,2144
"""20170831""",162771,2017-8-30,636
"""20170901""",150138,2017-8-31,923
"""20170902""",179501,2017-9-1,1031
"""20170903""",193981,2017-9-2,620
"""20170904""",170911,2017-9-3,437
"""20170905""",168669,2017-9-4,628
"""20170906""",151363,2017-9-5,612
"""20170907""",163776,2017-9-6,1268
"""20170908""",166274,2017-9-7,1013
"""20170909""",198444,2017-9-8,825
"""20170910""",209192,2017-9-9,521
"""20170911""",151454,2017-9-10,471
"""20170912""",133909,2017-9-11,365
"""20170913""",143279,2017-9-12,690
"""20170914""",149544,2017-9-13,1480
"""20170915""",122180,2017-9-14,996
"""20170916""",131542,2017-9-15,619
"""20170917""",132690,2017-9-16,479
"""20170918""",105030,2017-9-17,414
"""20170919""",108336,2017-9-18,438
"""20170920""",124134,2017-9-19,473
"""20170921""",119599,2017-9-20,533
"""20170922""",106891,2017-9-21,531
"""20170923""",117071,2017-9-22,702
"""20170924""",136065,2017-9-23,872
"""20170925""",108738,2017-9-24,620
"""20170926""",100314,2017-9-25,875
"""20170927""",91652,2017-9-26,475
"""20170928""",79845,2017-9-27,2190
"""20170929""",72751,2017-9-28,993
"""20170930""",80085,2017-9-29,1321
"""20171001""",94851,2017-9-30,442
"""20171002""",109996,2017-10-1,926
"""20171003""",123919,2017-10-2,426
"""20171004""",109297,2017-10-3,374
"""20171005""",104250,2017-10-4,299
"""20171006""",96188,2017-10-5,491
"""20171007""",112837,2017-10-6,1276
"""20171008""",115453,2017-10-7,1452
"""20171009""",104713,2017-10-8,395
"""20171010""",109570,2017-10-9,1066
"""20171011""",105722,2017-10-10,817
"""20171012""",96639,2017-10-11,535
"""20171013""",87883,2017-10-12,443
"""20171014""",100166,2017-10-13,366
"""20171015""",121406,2017-10-14,406
"""20171016""",105042,2017-10-15,417
"""20171017""",110517,2017-10-16,630
"""20171018""",96349,2017-10-17,313
"""20171019""",94820,2017-10-18,422
"""20171020""",94069,2017-10-19,277
"""20171021""",107936,2017-10-20,1109
"""20171022""",110263,2017-10-21,1083
"""20171023""",82504,2017-10-22,409
"""20171024""",78301,2017-10-23,451
"""20171025""",85925,2017-10-24,868
"""20171026""",84910,2017-10-25,4751
"""20171027""",87056,2017-10-26,655
"""20171028""",92053,2017-10-27,385
"""20171029""",103967,2017-10-28,340
"""20171030""",63879,2017-10-29,1113
"""20171031""",61219,2017-10-30,459
